,name,lat,long
1,NorthGate Brewing,37.7630772,-122.401106
2,Against the Grain Brewery,38.2555674,-85.74426752
3,Fort Point Beer Company,40.58916845,-105.0584895
4,COAST Brewing Company,32.8736085,-79.9720431
5,Great Divide Brewing Company,39.7701965,-104.9798778
6,Tapistry Brewing,41.9427559,-86.5561575
7,Big Lake Brewing,42.79149405,-86.10791587
8,Brewery Vivant,42.95988805,-85.64596177
9,Blackrocks Brewery,46.5470083,-87.3944001
10,Witch's Hat Brewing Company,42.4545914,-83.65035634
11,Founders Brewing Company,42.9582711,-85.67453812
12,Flat 12 Bierwerks,38.2693327,-85.7395861
13,Black Acre Brewing Co.,39.7709841,-86.07120484
14,Indiana City Brewing,39.7661102,-86.141258
15,Burn 'Em Brewing,41.73852735,-86.82802105
16,Evil Czech Brewery,41.6939205,-86.1823337
17,Cedar Creek Brewery,45.688273,-111.020948
18,Boulevard Brewing Company,39.08196355,-94.59682307
19,The Dudes' Brewing Company,34.4168201,-118.5598078
20,Anchor Brewing Company,37.7630772,-122.401106
21,Figueroa Mountain Brewing Company,34.4146238,-119.6907845
22,Avery Brewing Company,40.0625835,-105.2047652
23,Twisted X Brewing Company,30.16509255,-98.0847353
24,Lost Nation Brewing,44.5699888,-72.60300895
25,Tallgrass Brewing Company,39.1428736,-96.6792762
26,Firestone Walker Brewing Company,35.5958792,-120.69408
27,SweetWater Brewing Company,33.80802235,-84.38107219
28,Upslope Brewing Company,40.0629454,-105.2792068
29,Bent Brewstillery,45.0245441,-93.1738299
30,Pollyanna Brewing Company,41.6759774,-87.9978837
31,BuckleDown Brewing,41.8059343,-87.8371483
32,Destihl Brewery,40.529032,-88.94604188
33,Summit Brewing Company,44.91398765,-93.13959808
34,Against The Grain Brewery,38.2555674,-85.74426752
35,Crazy Mountain Brewing Company,39.7050448,-104.9390285
36,Freetail Brewing Company,29.6017424,-98.5612324
37,3 Daughters Brewing,27.76904775,-82.66259828
38,Appalachian Mountain Brewery,36.2033728,-81.6684259
39,Birdsong Brewing Company,35.23064025,-80.82653099
40,Union Craft Brewing,39.3365985,-76.6447849
41,Atwater Brewery,42.3372918,-83.0184893
42,Ale Asylum,43.12046815,-89.35416285
43,Bell's Brewery,42.28749879,-85.4562588
44,Blue Owl Brewing,30.2545924,-97.7170085
45,Hopworks Urban Brewery,45.4968753,-122.634827
46,Epic Brewing,39.7631779,-104.9813821
47,New Belgium Brewing Company,35.5879302,-82.57194293
48,Sierra Nevada Brewing Company,39.7225867,-121.816198
49,Brewery Terra Firma,44.71509875,-85.63510581
50,Kirkwood Station Brewing Company,38.58251855,-90.40580812
51,Goose Island Brewing Company,43.2310914,-73.4569975
52,The Lion Brewery,41.25534437,-75.85746813
53,Rhinegeist Brewery,39.11715435,-84.51990808
54,Warped Wing Brewing Company,39.7596025,-84.18590039
55,Catawba Valley Brewing Company,35.58905465,-82.5535967
56,Mission Brewery,32.707093,-117.1515633
57,West Sixth Brewing,39.0529163,-82.6384147
58,King Street Brewing Company,61.139191,-149.88026
59,Beer Works Brewery,41.8092406,-71.4258944
60,Renegade Brewing Company,39.7306283,-104.9993888
61,Black Market Brewing Company,35.619217,-82.31794593
62,Vault Brewing Company,40.2423373,-74.83849869
63,Alameda Brewing,37.7147788,-122.1792023
64,Steamworks Brewing Company,37.2722919,-107.879857
65,Ipswich Ale Brewery,42.68094065,-70.84151798
66,Griffin Claw Brewing Company,42.5434572,-83.19546429
67,Karbach Brewing Company,29.8063812,-95.4605283
68,Deep Ellum Brewing Company,32.7807294,-96.7813877
69,Real Ale Brewing Company,30.113319,-98.4128525
70,Straub Brewery,41.4276409,-78.55299225
71,Stevens Point Brewery,44.5104786,-89.57365746
72,Weston Brewing Company,39.41135471,-94.89937102
73,Pug Ryan's Brewery,39.6279944,-106.0461281
74,Third Street Brewhouse,45.4589451,-94.4294098
75,Grimm Brothers Brewhouse,40.3967472,-105.0469069
76,Cisco Brewers,43.08832335,-70.80324416
77,Angry Minnow,46.0104853,-91.4887672
78,Oakshire Brewing,44.0730134,-123.1406702
79,Fort Pitt Brewing Company,40.4957709,-79.924826
80,Three Creeks Brewing,44.29689635,-121.5479426
81,Phoenix Ale Brewery,33.5840567,-111.9795009
82,Lumberyard Brewing Company,35.1964377,-111.648578
83,Uinta Brewing Company,40.7890893,-111.9872264
84,Four Peaks Brewing Company,33.4196675,-111.9157036
85,Martin House Brewing Company,37.7630772,-122.401106
86,Right Brain Brewery,44.7495064,-85.6195125
87,Sly Fox Brewing Company,40.2654506,-75.6685151
88,Great Crescent Brewery,39.0723428,-84.83406606
89,Oskar Blues Brewery,40.139192,-105.122885
90,High Hops Brewery,40.4801558,-104.9358706
91,Everybody's Brewing,45.7272997,-121.485299
92,Anderson Valley Brewing Company,39.00085845,-123.3567502
93,Fiddlehead Brewing Company,44.3662205,-73.2325595
94,Evil Twin Brewing,40.7029844,-73.9905451
95,18th Street Brewery,38.61701785,-90.21093092
96,Cambridge Brewing Company,42.3664143,-71.0913087
97,Carolina Brewery,35.98390656,-80.85100052
98,Wild Wolf Brewing Company,37.8884696,-78.8803834
99,COOP Ale Works,35.4185472,-97.65776203
100,St. Julian Winery,41.95951945,-83.6782668
101,Mother's Brewing,37.20791735,-93.29928282
102,Two Beers Brewing Company,47.5605648,-122.3377084
103,Capital Brewery,43.09478,-89.51631612
104,Anthem Brewing Company,35.46066305,-97.5283174
105,Breakside Brewery,45.57158765,-122.6568385
106,Goose Island Brewery Company,43.2310914,-73.4569975
107,Burnside Brewing Co.,45.52352048,-122.6581479
108,Hop Valley Brewing Company,44.0828582,-123.0397437
109,Occidental Brewing Company,39.0752226,-78.5975618
110,People's Brewing Company,40.43764445,-86.88674616
111,Fort George Brewery,46.1884134,-123.8274641
112,Kalona Brewing Company,41.4833131,-91.7075553
113,Modern Times Beer,32.7541859,-117.2062181
114,Temperance Beer Company,42.0400322,-87.7020644
115,Wisconsin Brewing Company,42.96885545,-89.50898823
116,Crow Peak Brewing Company,44.51749305,-103.8702901
117,Orpheus Brewing,33.7935517,-84.3687353
118,Bozeman Brewing Company,45.6845234,-111.0238884
119,Fat Head's Brewery,40.2420767,-75.3347592
120,Refuge Brewery,33.50431328,-117.158374
121,Chatham Brewing,42.3632971,-73.5952896
122,College Street Brewhouse and Pub,33.7652432,-84.3488434
123,Harpoon Brewery,42.3472714,-71.0339692
124,Back East Brewing Company,41.8550153,-72.7047612
125,Champion Brewing Company,37.542417,-77.4391228
126,Golden Road Brewing,34.1506216,-118.2744662
127,New Republic Brewing Company,48.6482349,-118.7379008
128,Lift Bridge Brewing Company,43.0466926,-87.9136479
129,Creature Comforts,34.50817905,-83.39796966
130,Half Full Brewery,41.0394126,-73.5499379
131,Chapman's Brewing,40.8818084,-85.4962042
132,Barrio Brewing Company,42.6540692,-73.7477348
133,Santa Cruz Mountain Brewing,36.9591842,-122.0481763
134,Frankenmuth Brewery,43.3311302,-83.73767102
135,South Austin Brewery,30.2143335,-97.762481
136,Bauhaus Brew Labs,45.0007943,-93.2447193
137,Ozark Beer Company,36.3335034,-94.1147203
138,Mountain Town Brewing Company,29.8036158,-95.3870438
139,Otter Creek Brewing,44.0294434,-73.1722257
