Beer_Name,ABV,IBU,Style,Brewery_Name,City,State
Fat Paczki,0.075,NA,Belgian Dark Ale,Brewery Vivant,Grand Rapids, MI
Earth-Like Planets,0.055,NA,Belgian Pale Ale,Brewery Vivant,Grand Rapids, MI
30 Min Coma,0.045,NA,Belgian IPA,Sun King Brewing Company,Indianapolis, IN
Bourbon Barrel Cowbell,0.06,NA,American Porter,Sun King Brewing Company,Indianapolis, IN
Bastian,0.062,NA,American Strong Ale,James Page Brewing Company,Stevens Point, WI
WinterWonderGrass Festival Ale,0.0499,NA,American Amber / Red Ale,Crazy Mountain Brewing Company,Edwards, CO
Boohai Red Ale,0.06,NA,American Amber / Red Ale,Crazy Mountain Brewing Company,Edwards, CO
Professor Black,0.062,NA,American Stout,Blue Owl Brewing,Austin, TX
Little Boss,0.038,NA,American Pale Wheat Ale,Blue Owl Brewing,Austin, TX
Van Dayum!,0.057,NA,American Amber / Red Ale,Blue Owl Brewing,Austin, TX
Spirit Animal,0.051,NA,American Pale Ale (APA),Blue Owl Brewing,Austin, TX
U. P. Witbier,0.055,NA,Witbier,Keweenaw Brewing Company,Houghton, MI
November Gale Pale Ale,0.051,NA,American Pale Ale (APA),Keweenaw Brewing Company,Houghton, MI
Olde Ore Dock Scottish Ale,0.05,NA,Scottish Ale,Keweenaw Brewing Company,Houghton, MI
Widow Maker Black Ale,0.052,NA,American Brown Ale,Keweenaw Brewing Company,Houghton, MI
Lift Bridge Brown Ale,0.05,NA,American Brown Ale,Keweenaw Brewing Company,Houghton, MI
Pick Axe Blonde Ale,0.047,NA,American Blonde Ale,Keweenaw Brewing Company,Houghton, MI
Red Jacket Amber Ale,0.051,NA,American Amber / Red Ale,Keweenaw Brewing Company,Houghton, MI
West Sixth IPA,0.07,NA,American IPA,West Sixth Brewing,Lexington, KY
Royal Lager,,NA,American Pale Lager,Weston Brewing Company,Weston, MO
O’Malley’s Stout,0.055,NA,English Stout,Weston Brewing Company,Weston, MO
O’Malley’s Irish Style Cream Ale,0.049,NA,Cream Ale,Weston Brewing Company,Weston, MO
Fort Pitt Ale,,NA,American Amber / Red Ale,Fort Pitt Brewing Company,Latrobe, PA
Icey.P.A.,0.07,NA,American IPA,Oskar Blues Brewery,Longmont, CO
Birth IPA,0.07,NA,American IPA,Oskar Blues Brewery,Longmont, CO
Supper Club Lager,0.05,NA,American Pale Lager,Capital Brewery,Middleton, WI
Cal and Co. Black Cherry Porter,0.092,NA,American Porter,Rochester Mills Brewing Company,Rochester, MI
Autumnal Molé Stout,0.058,NA,American Stout,Ska Brewing Company,Durango, CO
Cornstalker Dark Wheat,0.052,NA,American Dark Wheat Ale,Thunderhead Brewing Company,Kearney, NE
Appreciation Ale,0.073,NA,American IPA,Iron Hill Brewery & Restaurant,Wilmington, DE
Double Play Pilsner,,NA,American Pilsner,Blue Blood Brewing Company,Lincoln, NE
N Street Drive-In 50th Anniversary IPA,0.086,NA,American Double / Imperial IPA,Blue Blood Brewing Company,Lincoln, NE
Rye Porter,0.055,NA,American Porter,Revolution Brewing,Paonia, CO
Miner's Gold,0.052,NA,American Blonde Ale,Revolution Brewing,Paonia, CO
Santa Fe Oktoberfest,0.06,NA,Märzen / Oktoberfest,Santa Fe Brewing Company,Santa Fe, NM
AXL Pale Ale,0.058,NA,American Pale Ale (APA),MillKing It Productions,Royal Oak, MI
Tampa Pale Ale,0.075,NA,American Pale Ale (APA),Brindle Dog Brewing Company,Tampa Bay, FL
Orange Grove Wheat Ale,0.05,NA,American Pale Wheat Ale,Brindle Dog Brewing Company,Tampa Bay, FL
Pete's Wicked Pale Ale (1997),0.055,NA,American Pale Ale (APA),Pete's Brewing Company,San Antonio, TX
Manhattan Gold Lager (1990),,NA,American Amber / Red Lager,The Manhattan Brewing Company,New York, NY
Dock Street Amber Beer (1992),0.05,NA,American Amber / Red Ale,Dock Street Brewery,Philadelphia, PA
Kaleidoscope Collaboration 2012,0.05,NA,American Black Ale,Devil's Canyon Brewery,Belmont, CA
THP White (2006),,NA,Witbier,Cans Bar and Canteen,Charlotte, NC
THP Amber (2006),,NA,American Amber / Red Ale,Cans Bar and Canteen,Charlotte, NC
THP Light (2006),,NA,American Blonde Ale,Cans Bar and Canteen,Charlotte, NC
THP Dark (2006),,NA,English Dark Mild Ale,Cans Bar and Canteen,Charlotte, NC
Hopluia (2004),0.056,NA,English India Pale Ale (IPA),Spilker Ales,Cortland, NE
Roler Bock (Current),0.072,NA,Maibock / Helles Bock,Buckbean Brewing Company,Reno, NV
Dolores River Hefeweizen,,NA,Hefeweizen,Dolores River Brewery,Dolores, CO
Dolores River ESB,0.058,NA,Extra Special / Strong Bitter (ESB),Dolores River Brewery,Dolores, CO
Snaggletooth Double Pale Ale,0.065,NA,American Double / Imperial IPA,Dolores River Brewery,Dolores, CO
Dolores River Pale Ale,0.052,NA,American Pale Ale (APA),Dolores River Brewery,Dolores, CO
Dolores River Dry Stout,0.048,NA,Irish Dry Stout,Dolores River Brewery,Dolores, CO
Dolores River Mild,0.05,NA,English Dark Mild Ale,Dolores River Brewery,Dolores, CO
Inclined Plane Ale,0.042,NA,American IPA,Flat Rock Brewing Company,Smithton, PA
Great Falls Select Pale Ale,0.05,NA,American Blonde Ale,Harvest Moon Brewing Company,Belt, MT
Black Iron India Pale Ale,0.065,NA,American IPA,Grand Canyon Brewing Company,Williams, AZ
Ponderosa IPA,0.065,NA,American IPA,Prescott Brewing Company,Prescott, AZ
Liquid Amber Ale,0.05,NA,American Amber / Red Ale,Prescott Brewing Company,Prescott, AZ
