"","Brewery_id","Beer_Name","Beer_ID","ABV","IBU","Style","Ounces","Brewery_Name","City","State"
"75",11,"Fat Paczki",2382,NA,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"76",11,"Earth-Like Planets",2381,NA,NA,"Belgian Pale Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"186",26,"30 Min Coma",1948,NA,NA,"Belgian IPA",16,"Sun King Brewing Company","Indianapolis"," IN"
"193",26,"Bourbon Barrel Cowbell",1347,NA,NA,"American Porter",16,"Sun King Brewing Company","Indianapolis"," IN"
"227",30,"Special Release",2210,NA,NA,"American Amber / Red Ale",16,"Cedar Creek Brewery","Seven Points"," TX"
"252",33,"Bastian",2595,NA,NA,"American Strong Ale",12,"James Page Brewing Company","Stevens Point"," WI"
"440",64,"WinterWonderGrass Festival Ale",1163,NA,NA,"American Amber / Red Ale",12,"Crazy Mountain Brewing Company","Edwards"," CO"
"441",64,"Boohai Red Ale",940,NA,NA,"American Amber / Red Ale",12,"Crazy Mountain Brewing Company","Edwards"," CO"
"508",78,"Professor Black",2490,NA,NA,"American Stout",12,"Blue Owl Brewing","Austin"," TX"
"509",78,"Little Boss",2489,NA,NA,"American Pale Wheat Ale",12,"Blue Owl Brewing","Austin"," TX"
"510",78,"Van Dayum!",2488,NA,NA,"American Amber / Red Ale",12,"Blue Owl Brewing","Austin"," TX"
"511",78,"Spirit Animal",2487,NA,NA,"American Pale Ale (APA)",12,"Blue Owl Brewing","Austin"," TX"
"568",85,"U. P. Witbier",2472,NA,NA,"Witbier",12,"Keweenaw Brewing Company","Houghton"," MI"
"569",85,"November Gale Pale Ale",779,NA,NA,"American Pale Ale (APA)",12,"Keweenaw Brewing Company","Houghton"," MI"
"570",85,"Olde Ore Dock Scottish Ale",364,NA,NA,"Scottish Ale",12,"Keweenaw Brewing Company","Houghton"," MI"
"571",85,"Widow Maker Black Ale",60,NA,NA,"American Brown Ale",12,"Keweenaw Brewing Company","Houghton"," MI"
"572",85,"Lift Bridge Brown Ale",59,NA,NA,"American Brown Ale",12,"Keweenaw Brewing Company","Houghton"," MI"
"573",85,"Pick Axe Blonde Ale",58,NA,NA,"American Blonde Ale",12,"Keweenaw Brewing Company","Houghton"," MI"
"574",85,"Red Jacket Amber Ale",57,NA,NA,"American Amber / Red Ale",12,"Keweenaw Brewing Company","Houghton"," MI"
"629",101,"West Sixth IPA",652,NA,NA,"American IPA",12,"West Sixth Brewing","Lexington"," KY"
"789",133,"Royal Lager",2364,NA,NA,"American Pale Lager",16,"Weston Brewing Company","Weston"," MO"
"791",133,"O’Malley’s Stout",2344,NA,NA,"English Stout",12,"Weston Brewing Company","Weston"," MO"
"793",133,"O’Malley’s Irish Style Cream Ale",2342,NA,NA,"Cream Ale",12,"Weston Brewing Company","Weston"," MO"
"900",152,"Fort Pitt Ale",2322,NA,NA,"American Amber / Red Ale",12,"Fort Pitt Brewing Company","Latrobe"," PA"
"994",167,"Icey.P.A.",1752,NA,NA,"American IPA",16,"Oskar Blues Brewery","Longmont"," CO"
"996",167,"Birth IPA",1750,NA,NA,"American IPA",12,"Oskar Blues Brewery","Longmont"," CO"
"1158",193,"Supper Club Lager",61,NA,NA,"American Pale Lager",12,"Capital Brewery","Middleton"," WI"
"1298",230,"Cal and Co. Black Cherry Porter",1724,NA,NA,"American Porter",16,"Rochester Mills Brewing Company","Rochester"," MI"
"1424",265,"Autumnal Molé Stout",774,NA,NA,"American Stout",12,"Ska Brewing Company","Durango"," CO"
"1480",283,"Cornstalker Dark Wheat",121,NA,NA,"American Dark Wheat Ale",12,"Thunderhead Brewing Company","Kearney"," NE"
"1631",317,"Appreciation Ale",1784,NA,NA,"American IPA",16,"Iron Hill Brewery & Restaurant","Wilmington"," DE"
"1887",381,"Double Play Pilsner",1541,NA,NA,"American Pilsner",12,"Blue Blood Brewing Company","Lincoln"," NE"
"1892",381,"N Street Drive-In 50th Anniversary IPA",1025,NA,NA,"American Double / Imperial IPA",12,"Blue Blood Brewing Company","Lincoln"," NE"
